timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-03-05,312951.33784600,312964.98828000,300910.55526000,303931.37689600,48374.09000000,48376.20000000,46512.90000000,46979.84000000,7214.32816400,7214.32816400
2021-03-04,325730.21427800,334945.93927200,307296.50000000,312951.33784600,50349.37000000,51773.88000000,47500.00000000,48374.09000000,82649.71682900,82649.71682900
2021-03-03,313355.80473400,340549.21600000,311182.73327400,325730.21427800,48436.61000000,52640.00000000,48100.71000000,50349.37000000,81035.91370500,81035.91370500
2021-03-02,320854.80974400,324763.88000000,304369.74344000,313381.94111000,49595.76000000,50200.00000000,47047.60000000,48440.65000000,64221.06214000,64221.06214000
2021-03-01,291990.61123400,322111.42600000,290802.95878200,320798.33188200,45134.11000000,49790.00000000,44950.53000000,49587.03000000,85086.11164800,85086.11164800
2021-02-28,298263.08269800,301722.85312400,278184.20000000,292000.63880400,46103.67000000,46638.46000000,43000.00000000,45135.66000000,83055.36904200,83055.36904200
2021-02-27,299383.64747200,313080.14360000,291123.00000000,298280.93824200,46276.88000000,48394.00000000,45000.00000000,46106.43000000,66060.83429200,66060.83429200
2021-02-26,304538.78886200,313274.93723400,285344.40253200,299383.58277800,47073.73000000,48424.11000000,44106.78000000,46276.87000000,109423.20066300,109423.20066300
2021-02-25,321375.27297400,336678.76806200,301954.97519600,304538.78886200,49676.21000000,52041.73000000,46674.34000000,47073.73000000,83310.67312100,83310.67312100
2021-02-24,316295.43540000,332365.36030600,303988.63108600,321375.20828000,48891.00000000,51374.99000000,46988.69000000,49676.20000000,91881.20925200,91881.20925200
2021-02-23,349914.77229800,350535.31714600,290427.92766400,316295.43540000,54087.67000000,54183.59000000,44892.56000000,48891.00000000,169375.02505100,169375.02505100
2021-02-22,371423.45709000,372045.29581800,308085.76680000,349914.77229800,57412.35000000,57508.47000000,47622.00000000,54087.67000000,134019.43494400,134019.43494400
2021-02-21,361258.99458600,377507.60432000,358906.72074600,371399.00275800,55841.19000000,58352.80000000,55477.59000000,57408.57000000,58166.70851100,58166.70851100
2021-02-20,361678.27640000,373287.35592400,348467.30874200,361258.99458600,55906.00000000,57700.46000000,53863.93000000,55841.19000000,80948.20531400,80948.20531400
2021-02-19,333514.45513400,364667.13920000,328064.56788000,361678.27640000,51552.61000000,56368.00000000,50710.20000000,55906.00000000,79659.77802000,79659.77802000
2021-02-18,337170.05429800,339837.58200000,329304.75186000,333514.39044000,52117.67000000,52530.00000000,50901.90000000,51552.60000000,60758.04695400,60758.04695400
